Season,Name,Position,Draft.Eligible,Team,Birth Date,GP,EVG,EVA1,EVA2,EVPTS,Team.EVPTS,OI.EVGF,OI.EVGA,EVGF.PERC,TEAM.EVGF.PERC,EVGF.PERC.REL,PRIMARY.EVPTS,TEAM.PRIMARY.EVPTS,PERC.TEAM.EVPrPTS,IPP.EV,IPPP.EV
2017-18 Regular Season,Stephen Gibson,D,N,Mississauga Steelheads,1997-03-03,68,1,2,5,8,423,52,53,0.5,0.52,-0.02,3,309,0.01,0.15,0.06
2017-18 Regular Season,James McEwan,F,N,Guelph Storm,1997-03-15,64,10,8,11,29,411,44,49,0.47,0.46,0.01,18,301,0.06,0.66,0.41
2017-18 Regular Season,Alex Di Carlo,D,N,Oshawa Generals,1997-03-25,45,4,1,2,7,435,27,30,0.47,0.5,-0.03,5,322,0.02,0.26,0.19
2017-18 Regular Season,Stephen Templeton,D,N,Hamilton Bulldogs,1997-01-26,12,0,0,0,0,468,0,5,0,0.55,-0.55,0,340,0,,
2017-18 Regular Season,Keaton Middleton,D,N,Saginaw Spirit,1998-02-10,64,2,3,6,11,365,50,56,0.47,0.46,0.01,5,267,0.02,0.22,0.1
2017-18 Regular Season,Cliff Pu,F,N,Kingston Frontenacs,1998-06-03,65,13,20,12,45,395,71,44,0.62,0.48,0.14,33,291,0.11,0.63,0.46
2017-18 Regular Season,Sam Field,F,N,Kingston Frontenacs,1998-02-04,14,5,0,0,5,444,8,6,0.57,0.54,0.03,5,323,0.02,0.62,0.62
2017-18 Regular Season,Reagan O'Grady,D,N,Mississauga Steelheads,1998-12-15,55,4,4,7,15,366,51,49,0.51,0.47,0.04,8,276,0.03,0.29,0.16
2017-18 Regular Season,Tye Felhaber,F,N,Ottawa 67's,1998-08-05,68,25,18,11,54,402,70,71,0.5,0.47,0.03,43,304,0.14,0.77,0.61
2017-18 Regular Season,Christopher Paquette,F,N,Peterborough Petes,1998-03-27,61,9,6,1,16,363,30,56,0.35,0.45,-0.1,15,278,0.05,0.53,0.5
2017-18 Regular Season,Michael Pezzetta,F,N,Sarnia Sting,1998-03-13,62,14,11,10,35,366,43,53,0.45,0.47,-0.02,25,276,0.09,0.81,0.58
2017-18 Regular Season,Kyle Rhodes,D,N,Sudbury Wolves,1997-12-25,57,9,4,3,16,366,46,63,0.42,0.47,-0.05,13,276,0.05,0.35,0.28
2017-18 Regular Season,Noah Carroll,D,N,Sault Ste. Marie Greyhounds,1997-12-02,65,6,7,13,26,568,70,45,0.61,0.54,0.07,13,411,0.03,0.37,0.19
2017-18 Regular Season,Matt Hotchkiss,F,N,Guelph Storm,1998-02-06,68,13,5,3,21,444,33,42,0.44,0.54,-0.1,18,323,0.06,0.64,0.55
2017-18 Regular Season,Will Bitten,F,N,Hamilton Bulldogs,1998-07-10,62,14,15,5,34,468,51,49,0.51,0.55,-0.04,29,340,0.09,0.67,0.57
2017-18 Regular Season,Nicholas Caamano,F,N,Flint Firebirds,1998-09-07,64,16,19,9,44,468,57,50,0.53,0.55,-0.02,35,340,0.1,0.77,0.61
2017-18 Regular Season,Givani Smith,F,N,Guelph Storm,1998-02-27,46,13,7,4,24,479,38,35,0.52,0.54,-0.02,20,352,0.06,0.63,0.53
2017-18 Regular Season,Brandon Saigeon,F,N,Hamilton Bulldogs,1998-06-14,65,17,13,7,37,468,57,30,0.66,0.55,0.11,30,340,0.09,0.65,0.53
2017-18 Regular Season,Cole Candella,D,N,Sudbury Wolves,1998-02-13,68,3,9,6,18,366,55,84,0.4,0.47,-0.07,12,276,0.04,0.33,0.22
2017-18 Regular Season,Jack Hanley,D,N,Hamilton Bulldogs,1998-04-20,63,1,6,6,13,468,47,46,0.51,0.55,-0.04,7,340,0.02,0.28,0.15
2017-18 Regular Season,Ryan Valentini,F,N,Sudbury Wolves,1997-07-13,1,0,0,0,0,366,0,0,,0.47,,0,276,0,,
2017-18 Regular Season,Drake Rymsha,F,N,Sarnia Sting,1998-08-06,68,21,13,16,50,553,72,52,0.58,0.55,0.03,34,411,0.08,0.69,0.47
2017-18 Regular Season,Benjamin Gleason,D,N,Hamilton Bulldogs,1998-03-25,63,3,11,9,23,468,64,37,0.63,0.55,0.08,14,340,0.04,0.36,0.22
2017-18 Regular Season,Jonathan Ang,F,N,Peterborough Petes,1998-01-31,65,13,21,7,41,553,64,55,0.54,0.55,-0.01,34,411,0.08,0.64,0.53
2017-18 Regular Season,Travis Barron,F,N,Ottawa 67's,1998-08-17,67,14,21,6,41,402,77,79,0.49,0.47,0.02,35,304,0.12,0.53,0.45
2017-18 Regular Season,Michael McLeod,F,N,Mississauga Steelheads,1998-02-03,38,9,14,8,31,423,43,42,0.51,0.52,-0.01,23,309,0.07,0.72,0.53
2017-18 Regular Season,Jordan Kyrou,F,N,Sarnia Sting,1998-05-05,56,23,26,14,63,553,69,43,0.62,0.55,0.07,49,411,0.12,0.91,0.71
2017-18 Regular Season,Jonah Gadjovich,F,N,Owen Sound Attack,1998-10-12,42,16,7,9,32,529,51,37,0.58,0.53,0.05,23,389,0.06,0.63,0.45
2017-18 Regular Season,Alex Black,D,N,Peterborough Petes,1997-09-12,65,2,3,8,13,363,42,61,0.41,0.45,-0.04,5,278,0.02,0.31,0.12
2017-18 Regular Season,Logan Stanley,D,N,Kitchener Rangers,1998-05-26,61,12,10,8,30,479,79,72,0.52,0.54,-0.02,22,352,0.06,0.38,0.28
2017-18 Regular Season,Logan Brown,F,N,Kitchener Rangers,1998-03-05,32,18,10,5,33,479,42,28,0.6,0.54,0.06,28,352,0.08,0.79,0.67
2017-18 Regular Season,Luke Kirwan,F,N,Flint Firebirds,1997-09-23,2,0,0,0,0,320,0,1,0,0.42,-0.42,0,247,0,,
2017-18 Regular Season,Daniil Vertiy,F,N,North Bay Battalion,1998-11-12,31,2,2,3,7,529,15,14,0.52,0.53,-0.01,4,389,0.01,0.47,0.27
2017-18 Regular Season,Ben Hawerchuk,F,N,Barrie Colts,1998-03-27,52,7,7,5,19,545,31,34,0.48,0.52,-0.04,14,398,0.04,0.61,0.45
2017-18 Regular Season,Kenny Huether,F,N,Oshawa Generals,1997-08-06,67,14,8,8,30,435,44,33,0.57,0.5,0.07,22,322,0.07,0.68,0.5
2017-18 Regular Season,Zach Poirier,F,N,Guelph Storm,1998-05-12,54,5,4,5,14,411,23,33,0.41,0.46,-0.05,9,301,0.03,0.61,0.39
2017-18 Regular Season,Zach Shankar,D,N,Niagara IceDogs,1997-01-28,53,2,6,8,16,418,40,36,0.53,0.51,0.02,8,311,0.03,0.4,0.2
2017-18 Regular Season,Mark Shoemaker,D,N,Guelph Storm,1997-09-28,66,1,4,5,10,411,44,50,0.47,0.46,0.01,5,301,0.02,0.23,0.11
2017-18 Regular Season,Trenton Bourque,D,N,Owen Sound Attack,1998-06-11,62,0,5,10,15,529,61,70,0.47,0.53,-0.06,5,389,0.01,0.25,0.08
2017-18 Regular Season,Boris Katchouk,F,N,Sault Ste. Marie Greyhounds,1998-06-18,58,26,21,6,53,568,81,34,0.7,0.54,0.16,47,411,0.11,0.65,0.58
2017-18 Regular Season,Anthony Salinitri,F,N,Sarnia Sting,1998-03-05,67,19,10,9,38,553,60,49,0.55,0.55,0,29,411,0.07,0.63,0.48
2017-18 Regular Season,Jack Kopacka,F,N,Sault Ste. Marie Greyhounds,1998-03-05,66,20,13,6,39,568,58,33,0.64,0.54,0.1,33,411,0.08,0.67,0.57
2017-18 Regular Season,Tim Gettinger,F,N,Sault Ste. Marie Greyhounds,1998-04-14,66,18,12,11,41,568,68,39,0.64,0.54,0.1,30,411,0.07,0.6,0.44
2017-18 Regular Season,Lucas Chiodo,F,N,Barrie Colts,1998-10-31,68,22,19,12,53,545,66,36,0.65,0.52,0.13,41,398,0.1,0.8,0.62
2017-18 Regular Season,Matthew Timms,D,N,Peterborough Petes,1998-05-12,46,2,8,5,15,363,36,53,0.4,0.45,-0.05,10,278,0.04,0.42,0.28
2017-18 Regular Season,Adam Timleck,F,N,Peterborough Petes,1998-02-26,39,10,9,3,22,363,28,23,0.55,0.45,0.1,19,278,0.07,0.79,0.68
2017-18 Regular Season,Troy Lajeunesse,F,N,Erie Otters,1997-05-20,60,10,9,8,27,366,43,57,0.43,0.47,-0.04,19,276,0.07,0.63,0.44
2017-18 Regular Season,Sean Allen,D,N,Oshawa Generals,1998-04-21,52,0,2,2,4,435,37,29,0.56,0.5,0.06,2,322,0.01,0.11,0.05
2017-18 Regular Season,Connor Hall,D,N,Kitchener Rangers,1998-02-21,47,0,8,2,10,479,43,35,0.55,0.54,0.01,8,352,0.02,0.23,0.19
2017-18 Regular Season,Adam Mascherin,F,N,Kitchener Rangers,1998-06-06,67,28,22,6,56,479,70,43,0.62,0.54,0.08,50,352,0.14,0.8,0.71
2017-18 Regular Season,Connor Bunnaman,F,N,Kitchener Rangers,1998-04-16,66,14,12,4,30,479,45,45,0.5,0.54,-0.04,26,352,0.07,0.67,0.58
2017-18 Regular Season,TJ Fergus,D,N,Barrie Colts,1997-03-25,64,1,9,5,15,468,71,66,0.52,0.55,-0.03,10,340,0.03,0.21,0.14
2017-18 Regular Season,Jesse Saban,D,N,North Bay Battalion,1997-01-14,68,2,7,7,16,371,54,61,0.47,0.47,0,9,281,0.03,0.3,0.17
2017-18 Regular Season,Patrick Fellows,F,N,Erie Otters,1997-06-17,68,11,15,5,31,429,43,47,0.48,0.47,0.01,26,314,0.08,0.72,0.6
2017-18 Regular Season,Trent Fox,F,N,Mississauga Steelheads,1997-07-16,60,18,12,6,36,423,51,51,0.5,0.52,-0.02,30,309,0.1,0.71,0.59
2017-18 Regular Season,Kyle Maksimovich,F,N,Erie Otters,1998-03-10,65,24,12,10,46,429,62,60,0.51,0.47,0.04,36,314,0.11,0.74,0.58
2017-18 Regular Season,Taylor Raddysh,F,N,Erie Otters,1998-02-18,58,22,19,7,48,568,67,47,0.59,0.54,0.05,41,411,0.1,0.72,0.61
2017-18 Regular Season,Kevin Hancock,F,N,Owen Sound Attack,1998-03-02,53,15,20,9,44,529,66,47,0.58,0.53,0.05,35,389,0.09,0.67,0.53
2017-18 Regular Season,Adrian Carbonara,F,N,London Knights,1997-03-12,43,3,2,2,7,395,16,34,0.32,0.48,-0.16,5,291,0.02,0.44,0.31
2017-18 Regular Season,Jacob Friend,D,N,Owen Sound Attack,1997-07-28,61,1,12,10,23,529,85,73,0.54,0.53,0.01,13,389,0.03,0.27,0.15
2017-18 Regular Season,Eric Henderson,F,N,Oshawa Generals,1998-04-23,66,7,11,4,22,435,38,35,0.52,0.5,0.02,18,322,0.06,0.58,0.47
2017-18 Regular Season,Johnathon Schaefer,D,N,Niagara IceDogs,1998-04-04,53,1,3,2,6,432,36,39,0.48,0.49,-0.01,4,316,0.01,0.17,0.11
2017-18 Regular Season,Kyle Langdon,F,N,Niagara IceDogs,1998-08-26,56,3,6,0,9,432,17,30,0.36,0.49,-0.13,9,316,0.03,0.53,0.53
2017-18 Regular Season,Jacob Cascagnette,F,N,Mississauga Steelheads,1997-03-22,64,8,9,4,21,423,27,45,0.38,0.52,-0.14,17,309,0.06,0.78,0.63
2017-18 Regular Season,Luke Burghardt,F,N,North Bay Battalion,1998-05-12,68,22,14,12,48,371,58,53,0.52,0.47,0.05,36,281,0.13,0.83,0.62
2017-18 Regular Season,Evan Krassey,F,N,Sudbury Wolves,1998-04-01,6,2,0,1,3,366,7,6,0.54,0.47,0.07,2,276,0.01,0.43,0.29
2017-18 Regular Season,Chase Campbell,F,N,Owen Sound Attack,1998-06-24,57,3,10,6,19,529,32,39,0.45,0.53,-0.08,13,389,0.03,0.59,0.41
2017-18 Regular Season,Jacob Collins,F,N,Flint Firebirds,1998-04-20,61,3,4,0,7,320,22,51,0.3,0.42,-0.12,7,247,0.03,0.32,0.32
2017-18 Regular Season,Riley Stillman,D,N,Hamilton Bulldogs,1998-03-09,62,5,12,10,27,468,64,42,0.6,0.55,0.05,17,340,0.05,0.42,0.27
2017-18 Regular Season,Domenico Commisso,F,N,Oshawa Generals,1998-02-19,63,18,12,12,42,435,46,47,0.49,0.5,-0.01,30,322,0.09,0.91,0.65
2017-18 Regular Season,Mac Hollowell,D,N,Sault Ste. Marie Greyhounds,1998-09-26,63,10,13,11,34,568,72,44,0.62,0.54,0.08,23,411,0.06,0.47,0.32
2017-18 Regular Season,Franco Sproviero,F,N,Sarnia Sting,1998-08-05,64,7,16,5,28,553,38,31,0.55,0.55,0,23,411,0.06,0.74,0.61
2017-18 Regular Season,Logan DeNoble,F,N,Peterborough Petes,1997-10-15,59,14,9,5,28,363,37,43,0.46,0.45,0.01,23,278,0.08,0.76,0.62
2017-18 Regular Season,Mitchell Byrne,D,N,Erie Otters,1998-03-04,48,0,2,2,4,444,17,45,0.27,0.54,-0.27,2,323,0.01,0.24,0.12
2017-18 Regular Season,Hakon Nilsen,D,N,Flint Firebirds,1998-02-04,61,0,2,4,6,320,36,60,0.38,0.42,-0.04,2,247,0.01,0.17,0.06
2017-18 Regular Season,Liam Stevens,F,N,Guelph Storm,1999-04-23,4,1,0,0,1,411,1,2,0.33,0.46,-0.13,1,301,0,1,1
2017-18 Regular Season,Isaac Ratcliffe,F,N,Guelph Storm,1999-02-15,67,27,8,5,40,411,53,76,0.41,0.46,-0.05,35,301,0.12,0.75,0.66
2017-18 Regular Season,Cam Dineen,D,N,North Bay Battalion,1998-06-19,65,10,9,15,34,553,73,70,0.51,0.55,-0.04,19,411,0.05,0.47,0.26
2017-18 Regular Season,Brady Lyle,D,N,North Bay Battalion,1999-06-06,63,8,6,7,21,529,67,48,0.58,0.53,0.05,14,389,0.04,0.31,0.21
2017-18 Regular Season,Max Kislinger,F,N,Flint Firebirds,1998-02-11,58,6,4,4,14,320,25,36,0.41,0.42,-0.01,10,247,0.04,0.56,0.4
2017-18 Regular Season,Elijah Roberts,D,N,Niagara IceDogs,1999-01-23,64,6,2,8,16,432,55,46,0.54,0.49,0.05,8,316,0.03,0.29,0.15
2017-18 Regular Season,Joseph Garreffa,F,N,Kitchener Rangers,1999-08-09,68,8,17,17,42,479,67,57,0.54,0.54,0,25,352,0.07,0.63,0.37
2017-18 Regular Season,Jake Henderson,F,N,Kitchener Rangers,1997-02-12,68,12,9,7,28,479,48,42,0.53,0.54,-0.01,21,352,0.06,0.58,0.44
2017-18 Regular Season,Nick McHugh,F,N,Kitchener Rangers,1999-02-13,66,8,9,6,23,479,29,32,0.48,0.54,-0.06,17,352,0.05,0.79,0.59
2017-18 Regular Season,Brendan Harrogate,F,N,Mississauga Steelheads,1998-02-13,54,8,8,5,21,423,37,29,0.56,0.52,0.04,16,309,0.05,0.57,0.43
2017-18 Regular Season,Owen Tippett,F,N,Mississauga Steelheads,1999-02-16,51,23,12,9,44,423,59,52,0.53,0.52,0.01,35,309,0.11,0.75,0.59
2017-18 Regular Season,Luke Kutkevicius,F,N,Windsor Spitfires,1998-03-25,40,12,4,3,19,418,27,19,0.59,0.51,0.08,16,311,0.05,0.7,0.59
2017-18 Regular Season,Jacob Ball,F,N,North Bay Battalion,1999-01-16,4,0,0,0,0,371,1,2,0.33,0.47,-0.14,0,281,0,0,0
2017-18 Regular Season,Kyle Potts,F,N,North Bay Battalion,1998-05-26,61,7,9,7,23,371,33,32,0.51,0.47,0.04,16,281,0.06,0.7,0.48
2017-18 Regular Season,Jakob Brahaney,D,N,Kingston Frontenacs,1999-03-26,67,4,9,4,17,444,73,50,0.59,0.54,0.05,13,323,0.04,0.23,0.18
2017-18 Regular Season,Jacob Paquette,D,N,Kingston Frontenacs,1999-05-26,63,3,6,2,11,444,63,46,0.58,0.54,0.04,9,323,0.03,0.17,0.14
2017-18 Regular Season,Ben Jones,F,N,Niagara IceDogs,1999-02-26,68,13,18,11,42,432,57,43,0.57,0.49,0.08,31,316,0.1,0.74,0.54
2017-18 Regular Season,Austen Keating,F,N,Ottawa 67's,1999-03-07,66,14,10,7,31,402,51,52,0.5,0.47,0.03,24,304,0.08,0.61,0.47
2017-18 Regular Season,Hudson Wilson,D,N,Ottawa 67's,1999-05-03,66,1,3,5,9,402,46,48,0.49,0.47,0.02,4,304,0.01,0.2,0.09
2017-18 Regular Season,Noel Hoefenmayer,D,N,Ottawa 67's,1999-01-06,65,7,9,5,21,402,61,64,0.49,0.47,0.02,16,304,0.05,0.34,0.26
2017-18 Regular Season,Hayden Davis,D,N,Saginaw Spirit,1999-07-21,68,3,9,10,22,365,60,64,0.48,0.46,0.02,12,267,0.04,0.37,0.2
2017-18 Regular Season,David Levin,F,Y,Sudbury Wolves,1999-09-16,46,9,6,4,19,366,25,52,0.32,0.47,-0.15,15,276,0.05,0.76,0.6
2017-18 Regular Season,Dmitry Sokolov,F,N,Barrie Colts,1998-04-14,64,30,22,12,64,366,78,66,0.54,0.47,0.07,52,276,0.19,0.82,0.67
2017-18 Regular Season,Max Jones,F,N,Kingston Frontenacs,1998-02-17,31,11,3,1,15,395,23,23,0.5,0.48,0.02,14,291,0.05,0.65,0.61
2017-18 Regular Season,Robert Thomas,F,N,Hamilton Bulldogs,1999-07-02,49,14,19,10,43,468,55,33,0.62,0.55,0.07,33,340,0.1,0.78,0.6
2017-18 Regular Season,Evan Bouchard,D,Y,London Knights,1999-10-20,67,13,17,15,45,395,82,66,0.55,0.48,0.07,30,291,0.1,0.55,0.37
2017-18 Regular Season,Sam Miletic,F,N,London Knights,1997-05-04,63,22,18,16,56,395,74,43,0.63,0.48,0.15,40,291,0.14,0.76,0.54
2017-18 Regular Season,Kole Sherwood,F,N,Kitchener Rangers,1997-01-22,57,23,14,4,41,479,62,41,0.6,0.54,0.06,37,352,0.11,0.66,0.6
2017-18 Regular Season,Nicolas Mattinen,D,N,Flint Firebirds,1998-03-05,64,5,4,9,18,468,69,74,0.48,0.55,-0.07,9,340,0.03,0.26,0.13
2017-18 Regular Season,Justin Murray,D,N,Barrie Colts,1998-08-22,62,5,7,8,20,545,73,57,0.56,0.52,0.04,12,398,0.03,0.27,0.16
2017-18 Regular Season,Jalen Smereck,D,N,Flint Firebirds,1997-01-15,46,8,6,6,20,320,41,80,0.34,0.42,-0.08,14,247,0.06,0.49,0.34
2017-18 Regular Season,Kyle MacLean,F,N,Oshawa Generals,1999-04-29,44,8,8,8,24,435,32,25,0.56,0.5,0.06,16,322,0.05,0.75,0.5
2017-18 Regular Season,Jack Studnicka,F,N,Oshawa Generals,1999-02-18,66,11,20,7,38,435,59,37,0.61,0.5,0.11,31,322,0.1,0.64,0.53
2017-18 Regular Season,Sasha Chmelevski,F,N,Ottawa 67's,1999-06-09,68,26,14,12,52,402,74,65,0.53,0.47,0.06,40,304,0.13,0.7,0.54
2017-18 Regular Season,Ryan McGregor,F,N,Sarnia Sting,1999-01-29,50,10,9,7,26,553,40,31,0.56,0.55,0.01,19,411,0.05,0.65,0.48
2017-18 Regular Season,C.J. Clarke,F,N,Flint Firebirds,1999-02-08,66,11,6,3,20,320,27,45,0.38,0.42,-0.04,17,247,0.07,0.74,0.63
2017-18 Regular Season,Zach Gallant,F,N,Peterborough Petes,1999-03-06,54,6,10,1,17,363,33,33,0.5,0.45,0.05,16,278,0.06,0.52,0.48
2017-18 Regular Season,Cole Fraser,D,N,Peterborough Petes,1999-08-23,50,3,3,4,10,363,32,44,0.42,0.45,-0.03,6,278,0.02,0.31,0.19
2017-18 Regular Season,Nick Grima,D,N,Sarnia Sting,1999-03-07,65,1,5,9,15,553,64,46,0.58,0.55,0.03,6,411,0.01,0.23,0.09
2017-18 Regular Season,Ryan Cranford,F,N,Kingston Frontenacs,1998-04-09,68,12,6,9,27,444,40,44,0.48,0.54,-0.06,18,323,0.06,0.68,0.45
2017-18 Regular Season,Jason Robertson,F,N,Kingston Frontenacs,1999-07-22,68,26,14,11,51,444,68,49,0.58,0.54,0.04,40,323,0.12,0.75,0.59
2017-18 Regular Season,Nolan Gardiner,F,N,Ottawa 67's,1998-09-09,18,1,0,0,1,402,3,12,0.2,0.47,-0.27,1,304,0,0.33,0.33
2017-18 Regular Season,Brady Gilmour,F,N,Saginaw Spirit,1999-04-18,41,8,4,3,15,365,26,24,0.52,0.46,0.06,12,267,0.04,0.58,0.46
2017-18 Regular Season,Cole Coskey,F,N,Saginaw Spirit,1999-06-01,68,15,6,5,26,365,36,45,0.44,0.46,-0.02,21,267,0.08,0.72,0.58
2017-18 Regular Season,Kirill Maksimov,F,N,Niagara IceDogs,1999-06-01,62,18,16,10,44,432,63,33,0.66,0.49,0.17,34,316,0.11,0.7,0.54
2017-18 Regular Season,Matthew Strome,F,N,Hamilton Bulldogs,1999-01-06,65,24,11,7,42,468,57,52,0.52,0.55,-0.03,35,340,0.1,0.74,0.61
2017-18 Regular Season,Joseph Mizzi,F,N,Windsor Spitfires,1998-04-19,4,0,0,0,0,418,0,0,,0.51,,0,311,0,,
2017-18 Regular Season,MacKenzie Entwistle,F,N,Hamilton Bulldogs,1999-07-14,49,11,11,7,29,468,44,30,0.59,0.55,0.04,22,340,0.06,0.66,0.5
2017-18 Regular Season,Reilly Webb,D,N,Hamilton Bulldogs,1999-05-04,66,1,3,0,4,468,31,45,0.41,0.55,-0.14,4,340,0.01,0.13,0.13
2017-18 Regular Season,Fedor Gordeev,D,N,Flint Firebirds,1999-01-27,67,4,6,4,14,320,51,89,0.36,0.42,-0.06,10,247,0.04,0.27,0.2
2017-18 Regular Season,Nicolas Hague,D,N,Mississauga Steelheads,1998-12-05,67,20,11,10,41,423,94,89,0.51,0.52,-0.01,31,309,0.1,0.44,0.33
2017-18 Regular Season,Austin Osmanski,D,N,Mississauga Steelheads,1998-04-30,65,1,5,9,15,423,51,56,0.48,0.52,-0.04,6,309,0.02,0.29,0.12
2017-18 Regular Season,Kyle Auger,D,N,Ottawa 67's,1999-01-02,7,0,1,1,2,402,4,3,0.57,0.47,0.1,1,304,0,0.5,0.25
2017-18 Regular Season,Luke Boka,F,N,Windsor Spitfires,1999-06-12,64,14,9,10,33,418,46,50,0.48,0.51,-0.03,23,311,0.07,0.72,0.5
2017-18 Regular Season,Gabriel Vilardi,F,N,Kingston Frontenacs,1999-08-16,32,13,15,8,36,444,45,22,0.67,0.54,0.13,28,323,0.09,0.8,0.62
2017-18 Regular Season,Cole Carter,F,N,Kitchener Rangers,1998-07-06,66,20,9,5,34,479,47,40,0.54,0.54,0,29,352,0.08,0.72,0.62
2017-18 Regular Season,Matt Brassard,D,N,Oshawa Generals,1998-08-08,67,8,10,9,27,435,76,61,0.55,0.5,0.05,18,322,0.06,0.36,0.24
2017-18 Regular Season,Tyler Rollo,F,N,London Knights,1997-07-30,62,9,9,4,22,395,42,32,0.57,0.48,0.09,18,291,0.06,0.52,0.43
2017-18 Regular Season,Aidan Brown,F,Y,Barrie Colts,1999-09-23,57,7,6,3,16,545,25,19,0.57,0.52,0.05,13,398,0.03,0.64,0.52
2017-18 Regular Season,Markus Phillips,D,N,Owen Sound Attack,1999-03-21,68,6,13,8,27,529,71,61,0.54,0.53,0.01,19,389,0.05,0.38,0.27
2017-18 Regular Season,Matthew Struthers,F,Y,North Bay Battalion,1999-12-26,62,22,10,8,40,529,53,42,0.56,0.53,0.03,32,389,0.08,0.75,0.6
2017-18 Regular Season,Nick Suzuki,F,N,Owen Sound Attack,1999-08-10,64,27,21,13,61,529,83,57,0.59,0.53,0.06,48,389,0.12,0.73,0.58
2017-18 Regular Season,Sean Durzi,D,N,Owen Sound Attack,1998-10-21,40,9,8,10,27,529,59,39,0.6,0.53,0.07,17,389,0.04,0.46,0.29
2017-18 Regular Season,Nick Deakin-Poot,F,N,Guelph Storm,1999-01-28,2,0,0,1,1,411,1,2,0.33,0.46,-0.13,0,301,0,1,0
