League,Season,Name,Position,Draft.Eligible,Team,Height,Birth Date,GP,G,A1,A2,PTS,PRIMARY.PTS,TEAM.PRIMARY.PTS,PERC.TEAM.PrPTS,Shots,Team.Shots,SH.PERC,PERC.TEAM.SHOTS,PERC.TEAM.PTS,PTSPG
OHL,2017-18 Regular Season,Christopher Paquette,F,N,Peterborough Petes,6.02,1998-03-27,61,16,9,4,29,25,425,0.06,151,2584,0.11,0.06,0.05,0.48
OHL,2017-18 Regular Season,Michael Pezzetta,F,N,Sarnia Sting,6.01,1998-03-13,62,23,16,13,52,39,380,0.1,185,2584,0.12,0.07,0.1,0.84
OHL,2017-18 Regular Season,Kyle Rhodes,D,N,Sudbury Wolves,6.03,1997-12-25,57,10,10,4,24,20,380,0.05,125,2584,0.08,0.05,0.05,0.42
OHL,2017-18 Regular Season,Noah Carroll,D,N,Sault Ste. Marie Greyhounds,6.01,1997-12-02,65,7,11,19,37,18,610,0.03,96,2584,0.07,0.04,0.04,0.57
OHL,2017-18 Regular Season,Matt Hotchkiss,F,N,Guelph Storm,6.02,1998-02-06,68,14,5,5,24,19,458,0.04,112,2584,0.12,0.04,0.04,0.35
OHL,2017-18 Regular Season,Will Bitten,F,N,Hamilton Bulldogs,5.11,1998-07-10,62,20,25,19,64,45,487,0.09,161,2584,0.12,0.06,0.09,1.03
OHL,2017-18 Regular Season,Nicholas Caamano,F,N,Flint Firebirds,6.02,1998-09-07,64,25,23,9,57,48,487,0.1,237,2584,0.11,0.09,0.08,0.89
OHL,2017-18 Regular Season,Givani Smith,F,N,Guelph Storm,6.02,1998-02-27,46,17,8,5,30,25,469,0.05,135,2584,0.13,0.05,0.05,0.65
OHL,2017-18 Regular Season,Brandon Saigeon,F,N,Hamilton Bulldogs,6.02,1998-06-14,65,35,21,14,70,56,487,0.11,239,2584,0.15,0.09,0.1,1.08
OHL,2017-18 Regular Season,Cole Candella,D,N,Sudbury Wolves,6.01,1998-02-13,68,5,14,14,33,19,380,0.05,133,2584,0.04,0.05,0.06,0.49
OHL,2017-18 Regular Season,Jack Hanley,D,N,Hamilton Bulldogs,5.11,1998-04-20,63,2,6,6,14,8,487,0.02,65,2584,0.03,0.03,0.02,0.22
OHL,2017-18 Regular Season,Ryan Valentini,F,N,Sudbury Wolves,6.00,1997-07-13,1,0,0,0,0,0,380,0,0,2584,,0,0,0
OHL,2017-18 Regular Season,Drake Rymsha,F,N,Sarnia Sting,6.00,1998-08-06,68,31,23,19,73,54,573,0.09,198,2584,0.16,0.08,0.09,1.07
OHL,2017-18 Regular Season,Benjamin Gleason,D,N,Hamilton Bulldogs,6.01,1998-03-25,63,9,20,19,48,29,487,0.06,177,2584,0.05,0.07,0.07,0.76
OHL,2017-18 Regular Season,Jonathan Ang,F,N,Peterborough Petes,6.00,1998-01-31,65,25,32,13,70,57,573,0.1,163,2584,0.15,0.06,0.09,1.08
OHL,2017-18 Regular Season,Travis Barron,F,N,Ottawa 67's,6.01,1998-08-17,67,21,26,10,57,47,423,0.11,227,2584,0.09,0.09,0.1,0.85
OHL,2017-18 Regular Season,Michael McLeod,F,N,Mississauga Steelheads,6.02,1998-02-03,38,16,17,11,44,33,476,0.07,120,2584,0.13,0.05,0.07,1.16
OHL,2017-18 Regular Season,Jordan Kyrou,F,N,Sarnia Sting,6.00,1998-05-05,56,39,40,30,109,79,573,0.14,166,2584,0.23,0.06,0.14,1.95
OHL,2017-18 Regular Season,Jonah Gadjovich,F,N,Owen Sound Attack,6.02,1998-10-12,42,25,13,10,48,38,548,0.07,219,2584,0.11,0.08,0.06,1.14
OHL,2017-18 Regular Season,Alex Black,D,N,Peterborough Petes,6.01,1997-09-12,65,2,3,9,14,5,425,0.01,78,2584,0.03,0.03,0.02,0.22
OHL,2017-18 Regular Season,Logan Stanley,D,N,Kitchener Rangers,6.07,1998-05-26,61,15,12,15,42,27,469,0.06,169,2584,0.09,0.07,0.07,0.69
OHL,2017-18 Regular Season,Logan Brown,F,N,Kitchener Rangers,6.06,1998-03-05,32,22,17,9,48,39,469,0.08,116,2584,0.19,0.04,0.07,1.5
OHL,2017-18 Regular Season,Luke Kirwan,F,N,Flint Firebirds,6.03,1997-09-23,2,0,0,0,0,0,360,0,2,2584,0,0,0,0
OHL,2017-18 Regular Season,Daniil Vertiy,F,N,North Bay Battalion,5.11,1998-11-12,31,2,3,6,11,5,548,0.01,57,2584,0.04,0.02,0.01,0.35
OHL,2017-18 Regular Season,Ben Hawerchuk,F,N,Barrie Colts,5.11,1998-03-27,52,12,9,6,27,21,576,0.04,129,2584,0.09,0.05,0.03,0.52
OHL,2017-18 Regular Season,Kenny Huether,F,N,Oshawa Generals,5.10,1997-08-06,67,30,13,11,54,43,468,0.09,241,2584,0.12,0.09,0.09,0.81
OHL,2017-18 Regular Season,Zach Poirier,F,N,Guelph Storm,5.11,1998-05-12,54,8,4,5,17,12,438,0.03,88,2584,0.09,0.03,0.03,0.31
OHL,2017-18 Regular Season,Zach Shankar,D,N,Niagara IceDogs,6.00,1997-01-28,53,2,7,8,17,9,400,0.02,60,2584,0.03,0.02,0.03,0.32
OHL,2017-18 Regular Season,Mark Shoemaker,D,N,Guelph Storm,6.02,1997-09-28,66,1,4,5,10,5,438,0.01,50,2584,0.02,0.02,0.02,0.15
OHL,2017-18 Regular Season,Trenton Bourque,D,N,Owen Sound Attack,6.02,1998-06-11,62,0,5,12,17,5,548,0.01,62,2584,0,0.02,0.02,0.27
OHL,2017-18 Regular Season,Boris Katchouk,F,N,Sault Ste. Marie Greyhounds,6.02,1998-06-18,58,42,29,14,85,71,610,0.12,195,2584,0.22,0.08,0.1,1.47
OHL,2017-18 Regular Season,Anthony Salinitri,F,N,Sarnia Sting,5.11,1998-03-05,67,27,15,16,58,42,573,0.07,189,2584,0.14,0.07,0.07,0.87
OHL,2017-18 Regular Season,Jack Kopacka,F,N,Sault Ste. Marie Greyhounds,6.02,1998-03-05,66,31,20,12,63,51,610,0.08,227,2584,0.14,0.09,0.08,0.95
OHL,2017-18 Regular Season,Tim Gettinger,F,N,Sault Ste. Marie Greyhounds,6.06,1998-04-14,66,33,21,15,69,54,610,0.09,256,2584,0.13,0.1,0.08,1.05
OHL,2017-18 Regular Season,Lucas Chiodo,F,N,Barrie Colts,5.06,1998-10-31,68,30,28,21,79,58,576,0.1,124,2584,0.24,0.05,0.1,1.16
OHL,2017-18 Regular Season,Matthew Timms,D,N,Peterborough Petes,5.09,1998-05-12,46,3,14,18,35,17,425,0.04,74,2584,0.04,0.03,0.06,0.76
OHL,2017-18 Regular Season,Adam Timleck,F,N,Peterborough Petes,5.09,1998-02-26,39,13,11,5,29,24,425,0.06,102,2584,0.13,0.04,0.05,0.74
OHL,2017-18 Regular Season,Troy Lajeunesse,F,N,Erie Otters,5.08,1997-05-20,60,15,16,12,43,31,380,0.08,95,2584,0.16,0.04,0.08,0.72
OHL,2017-18 Regular Season,Sean Allen,D,N,Oshawa Generals,6.03,1998-04-21,52,0,2,2,4,2,468,0,26,2584,0,0.01,0.01,0.08
OHL,2017-18 Regular Season,Connor Hall,D,N,Kitchener Rangers,6.03,1998-02-21,47,0,9,2,11,9,469,0.02,54,2584,0,0.02,0.02,0.23
OHL,2017-18 Regular Season,Adam Mascherin,F,N,Kitchener Rangers,5.09,1998-06-06,67,40,34,12,86,74,469,0.16,255,2584,0.16,0.1,0.13,1.28
OHL,2017-18 Regular Season,Connor Bunnaman,F,N,Kitchener Rangers,6.02,1998-04-16,66,27,15,8,50,42,469,0.09,205,2584,0.13,0.08,0.08,0.76
OHL,2017-18 Regular Season,TJ Fergus,D,N,Barrie Colts,5.11,1997-03-25,64,7,17,17,41,24,487,0.05,113,2584,0.06,0.04,0.06,0.64
OHL,2017-18 Regular Season,Jesse Saban,D,N,North Bay Battalion,6.01,1997-01-14,68,3,11,10,24,14,398,0.04,106,2584,0.03,0.04,0.04,0.35
OHL,2017-18 Regular Season,Patrick Fellows,F,N,Erie Otters,6.03,1997-06-17,68,12,18,7,37,30,421,0.07,112,2584,0.11,0.04,0.06,0.54
OHL,2017-18 Regular Season,Trent Fox,F,N,Mississauga Steelheads,6.03,1997-07-16,60,24,20,9,53,44,476,0.09,215,2584,0.11,0.08,0.08,0.88
OHL,2017-18 Regular Season,Kyle Maksimovich,F,N,Erie Otters,5.09,1998-03-10,65,31,22,13,66,53,421,0.13,194,2584,0.16,0.08,0.11,1.02
OHL,2017-18 Regular Season,Taylor Raddysh,F,N,Erie Otters,6.02,1998-02-18,58,33,33,17,83,66,610,0.11,212,2584,0.16,0.08,0.1,1.43
OHL,2017-18 Regular Season,Kevin Hancock,F,N,Owen Sound Attack,5.11,1998-03-02,53,24,33,12,69,57,548,0.1,245,2584,0.1,0.09,0.09,1.3
OHL,2017-18 Regular Season,Adrian Carbonara,F,N,London Knights,6.02,1997-03-12,43,4,2,2,8,6,442,0.01,51,2584,0.08,0.02,0.01,0.19
OHL,2017-18 Regular Season,Jacob Friend,D,N,Owen Sound Attack,6.02,1997-07-28,61,3,17,10,30,20,548,0.04,105,2584,0.03,0.04,0.04,0.49
OHL,2017-18 Regular Season,Eric Henderson,F,N,Oshawa Generals,6.02,1998-04-23,66,7,11,4,22,18,468,0.04,111,2584,0.06,0.04,0.03,0.33
OHL,2017-18 Regular Season,Johnathon Schaefer,D,N,Niagara IceDogs,5.09,1998-04-04,53,1,4,5,10,5,466,0.01,46,2584,0.02,0.02,0.02,0.19
OHL,2017-18 Regular Season,Kyle Langdon,F,N,Niagara IceDogs,5.11,1998-08-26,56,3,8,1,12,11,466,0.02,70,2584,0.04,0.03,0.02,0.21
OHL,2017-18 Regular Season,Jacob Cascagnette,F,N,Mississauga Steelheads,6.03,1997-03-22,64,17,12,4,33,29,476,0.06,114,2584,0.15,0.04,0.05,0.52
OHL,2017-18 Regular Season,Luke Burghardt,F,N,North Bay Battalion,5.11,1998-05-12,68,28,25,18,71,53,398,0.13,191,2584,0.15,0.07,0.13,1.04
OHL,2017-18 Regular Season,Evan Krassey,F,N,Sudbury Wolves,6.03,1998-04-01,6,2,0,1,3,2,380,0.01,9,2584,0.22,0,0.01,0.5
OHL,2017-18 Regular Season,Chase Campbell,F,N,Owen Sound Attack,5.08,1998-06-24,57,3,11,6,20,14,548,0.03,73,2584,0.04,0.03,0.03,0.35
OHL,2017-18 Regular Season,Jacob Collins,F,N,Flint Firebirds,6.01,1998-04-20,61,4,4,0,8,8,360,0.02,83,2584,0.05,0.03,0.02,0.13
OHL,2017-18 Regular Season,Riley Stillman,D,N,Hamilton Bulldogs,6.02,1998-03-09,62,5,18,11,34,23,487,0.05,119,2584,0.04,0.05,0.05,0.55
OHL,2017-18 Regular Season,Domenico Commisso,F,N,Oshawa Generals,6.00,1998-02-19,63,23,16,23,62,39,468,0.08,145,2584,0.16,0.06,0.1,0.98
OHL,2017-18 Regular Season,Mac Hollowell,D,N,Sault Ste. Marie Greyhounds,5.09,1998-09-26,63,12,27,17,56,39,610,0.06,120,2584,0.1,0.05,0.07,0.89
OHL,2017-18 Regular Season,Franco Sproviero,F,N,Sarnia Sting,5.09,1998-08-05,64,10,21,6,37,31,573,0.05,120,2584,0.08,0.05,0.05,0.58
OHL,2017-18 Regular Season,Logan DeNoble,F,N,Peterborough Petes,5.11,1997-10-15,59,31,14,7,52,45,425,0.11,180,2584,0.17,0.07,0.09,0.88
OHL,2017-18 Regular Season,Mitchell Byrne,D,N,Erie Otters,5.11,1998-03-04,48,1,2,3,6,3,458,0.01,26,2584,0.04,0.01,0.01,0.12
OHL,2017-18 Regular Season,Hakon Nilsen,D,N,Flint Firebirds,6.00,1998-02-04,61,0,3,5,8,3,360,0.01,57,2584,0,0.02,0.02,0.13
OHL,2017-18 Regular Season,Liam Stevens,F,N,Guelph Storm,5.09,1999-04-23,4,1,0,0,1,1,438,0,2,2584,0.5,0,0,0.25
OHL,2017-18 Regular Season,Isaac Ratcliffe,F,N,Guelph Storm,6.06,1999-02-15,67,41,15,12,68,56,438,0.13,282,2584,0.15,0.11,0.11,1.01
OHL,2017-18 Regular Season,Cam Dineen,D,N,North Bay Battalion,5.11,1998-06-19,65,20,16,28,64,36,573,0.06,167,2584,0.12,0.06,0.08,0.98
OHL,2017-18 Regular Season,Brady Lyle,D,N,North Bay Battalion,6.01,1999-06-06,63,11,10,13,34,21,548,0.04,137,2584,0.08,0.05,0.05,0.54
OHL,2017-18 Regular Season,Max Kislinger,F,N,Flint Firebirds,6.03,1998-02-11,58,8,4,5,17,12,360,0.03,85,2584,0.09,0.03,0.04,0.29
OHL,2017-18 Regular Season,Elijah Roberts,D,N,Niagara IceDogs,5.09,1999-01-23,64,8,7,13,28,15,466,0.03,107,2584,0.07,0.04,0.04,0.44
OHL,2017-18 Regular Season,Joseph Garreffa,F,N,Kitchener Rangers,5.06,1999-08-09,68,12,26,27,65,38,469,0.08,103,2584,0.12,0.04,0.1,0.96
OHL,2017-18 Regular Season,Jake Henderson,F,N,Kitchener Rangers,6.03,1997-02-12,68,13,11,7,31,24,469,0.05,138,2584,0.09,0.05,0.05,0.46
OHL,2017-18 Regular Season,Nick McHugh,F,N,Kitchener Rangers,5.11,1999-02-13,66,11,9,6,26,20,469,0.04,80,2584,0.14,0.03,0.04,0.39
OHL,2017-18 Regular Season,Brendan Harrogate,F,N,Mississauga Steelheads,6.01,1998-02-13,54,10,9,6,25,19,476,0.04,108,2584,0.09,0.04,0.04,0.46
OHL,2017-18 Regular Season,Owen Tippett,F,N,Mississauga Steelheads,6.02,1999-02-16,51,36,26,13,75,62,476,0.13,275,2584,0.13,0.11,0.12,1.47
OHL,2017-18 Regular Season,Luke Kutkevicius,F,N,Windsor Spitfires,6.01,1998-03-25,40,13,5,4,22,18,400,0.04,59,2584,0.22,0.02,0.04,0.55
OHL,2017-18 Regular Season,Jacob Ball,F,N,North Bay Battalion,6.03,1999-01-16,4,0,0,0,0,0,398,0,2,2584,0,0,0,0
OHL,2017-18 Regular Season,Kyle Potts,F,N,North Bay Battalion,6.03,1998-05-26,61,9,9,7,25,18,398,0.05,104,2584,0.09,0.04,0.05,0.41
OHL,2017-18 Regular Season,Jakob Brahaney,D,N,Kingston Frontenacs,6.02,1999-03-26,67,5,15,10,30,20,458,0.04,121,2584,0.04,0.05,0.05,0.45
OHL,2017-18 Regular Season,Jacob Paquette,D,N,Kingston Frontenacs,6.03,1999-05-26,63,4,7,4,15,11,458,0.02,59,2584,0.07,0.02,0.02,0.24
OHL,2017-18 Regular Season,Ben Jones,F,N,Niagara IceDogs,6.00,1999-02-26,68,30,29,20,79,59,466,0.13,213,2584,0.14,0.08,0.12,1.16
OHL,2017-18 Regular Season,Austen Keating,F,N,Ottawa 67's,6.00,1999-03-07,66,24,16,12,52,40,423,0.09,186,2584,0.13,0.07,0.09,0.79
OHL,2017-18 Regular Season,Hudson Wilson,D,N,Ottawa 67's,6.03,1999-05-03,66,2,6,6,14,8,423,0.02,58,2584,0.03,0.02,0.02,0.21
OHL,2017-18 Regular Season,Noel Hoefenmayer,D,N,Ottawa 67's,6.00,1999-01-06,65,7,17,9,33,24,423,0.06,126,2584,0.06,0.05,0.06,0.51
OHL,2017-18 Regular Season,Hayden Davis,D,N,Saginaw Spirit,6.03,1999-07-21,68,4,11,12,27,15,379,0.04,93,2584,0.04,0.04,0.05,0.4
OHL,2017-18 Regular Season,David Levin,F,Y,Sudbury Wolves,5.10,1999-09-16,46,14,10,5,29,24,380,0.06,112,2584,0.12,0.04,0.06,0.63
OHL,2017-18 Regular Season,Dmitry Sokolov,F,N,Barrie Colts,6.00,1998-04-14,64,50,25,21,96,75,380,0.2,268,2584,0.19,0.1,0.19,1.5
OHL,2017-18 Regular Season,Max Jones,F,N,Kingston Frontenacs,6.03,1998-02-17,31,19,3,2,24,22,442,0.05,122,2584,0.16,0.05,0.04,0.77
OHL,2017-18 Regular Season,Robert Thomas,F,N,Hamilton Bulldogs,6.01,1999-07-02,49,24,30,21,75,54,487,0.11,117,2584,0.21,0.05,0.11,1.53
OHL,2017-18 Regular Season,Evan Bouchard,D,Y,London Knights,6.02,1999-10-20,67,25,35,27,87,60,442,0.14,297,2584,0.08,0.11,0.15,1.3
OHL,2017-18 Regular Season,Sam Miletic,F,N,London Knights,6.01,1997-05-04,63,36,32,24,92,68,442,0.15,245,2584,0.15,0.09,0.15,1.46
OHL,2017-18 Regular Season,Kole Sherwood,F,N,Kitchener Rangers,6.01,1997-01-22,57,30,22,8,60,52,469,0.11,216,2584,0.14,0.08,0.09,1.05
OHL,2017-18 Regular Season,Nicolas Mattinen,D,N,Flint Firebirds,6.05,1998-03-05,64,8,8,14,30,16,487,0.03,174,2584,0.05,0.07,0.04,0.47
OHL,2017-18 Regular Season,Justin Murray,D,N,Barrie Colts,6.00,1998-08-22,62,6,12,13,31,18,576,0.03,133,2584,0.05,0.05,0.04,0.5
OHL,2017-18 Regular Season,Jalen Smereck,D,N,Flint Firebirds,6.01,1997-01-15,46,10,15,9,34,25,360,0.07,184,2584,0.05,0.07,0.07,0.74
OHL,2017-18 Regular Season,Kyle MacLean,F,N,Oshawa Generals,6.01,1999-04-29,44,10,8,10,28,18,468,0.04,70,2584,0.14,0.03,0.04,0.64
OHL,2017-18 Regular Season,Jack Studnicka,F,N,Oshawa Generals,6.02,1999-02-18,66,22,37,13,72,59,468,0.13,215,2584,0.1,0.08,0.11,1.09
OHL,2017-18 Regular Season,Sasha Chmelevski,F,N,Ottawa 67's,6.00,1999-06-09,68,35,21,20,76,56,423,0.13,280,2584,0.12,0.11,0.13,1.12
OHL,2017-18 Regular Season,Ryan McGregor,F,N,Sarnia Sting,6.01,1999-01-29,50,13,11,8,32,24,573,0.04,103,2584,0.13,0.04,0.04,0.64
OHL,2017-18 Regular Season,C.J. Clarke,F,N,Flint Firebirds,6.00,1999-02-08,66,16,8,4,28,24,360,0.07,131,2584,0.12,0.05,0.06,0.42
OHL,2017-18 Regular Season,Zach Gallant,F,N,Peterborough Petes,6.02,1999-03-06,54,16,12,3,31,28,425,0.07,121,2584,0.13,0.05,0.05,0.57
OHL,2017-18 Regular Season,Cole Fraser,D,N,Peterborough Petes,6.02,1999-08-23,50,3,4,4,11,7,425,0.02,69,2584,0.04,0.03,0.02,0.22
OHL,2017-18 Regular Season,Nick Grima,D,N,Sarnia Sting,6.00,1999-03-07,65,1,5,10,16,6,573,0.01,65,2584,0.02,0.03,0.02,0.25
OHL,2017-18 Regular Season,Ryan Cranford,F,N,Kingston Frontenacs,6.00,1998-04-09,68,16,8,9,33,24,458,0.05,187,2584,0.09,0.07,0.05,0.49
OHL,2017-18 Regular Season,Jason Robertson,F,N,Kingston Frontenacs,6.03,1999-07-22,68,41,26,20,87,67,458,0.15,308,2584,0.13,0.12,0.14,1.28
OHL,2017-18 Regular Season,Nolan Gardiner,F,N,Ottawa 67's,6.00,1998-09-09,18,1,0,0,1,1,423,0,13,2584,0.08,0.01,0,0.06
OHL,2017-18 Regular Season,Brady Gilmour,F,N,Saginaw Spirit,5.11,1999-04-18,41,9,9,7,25,18,379,0.05,93,2584,0.1,0.04,0.05,0.61
OHL,2017-18 Regular Season,Cole Coskey,F,N,Saginaw Spirit,6.01,1999-06-01,68,27,14,9,50,41,379,0.11,167,2584,0.16,0.06,0.1,0.74
OHL,2017-18 Regular Season,Kirill Maksimov,F,N,Niagara IceDogs,6.02,1999-06-01,62,34,26,20,80,60,466,0.13,227,2584,0.15,0.09,0.12,1.29
OHL,2017-18 Regular Season,Matthew Strome,F,N,Hamilton Bulldogs,6.04,1999-01-06,65,37,20,11,68,57,487,0.12,185,2584,0.2,0.07,0.1,1.05
OHL,2017-18 Regular Season,Joseph Mizzi,F,N,Windsor Spitfires,5.09,1998-04-19,4,0,0,0,0,0,400,0,4,2584,0,0,0,0
OHL,2017-18 Regular Season,MacKenzie Entwistle,F,N,Hamilton Bulldogs,6.03,1999-07-14,49,13,15,10,38,28,487,0.06,127,2584,0.1,0.05,0.06,0.78
OHL,2017-18 Regular Season,Reilly Webb,D,N,Hamilton Bulldogs,6.03,1999-05-04,66,1,3,0,4,4,487,0.01,79,2584,0.01,0.03,0.01,0.06
OHL,2017-18 Regular Season,Fedor Gordeev,D,N,Flint Firebirds,6.06,1999-01-27,67,8,10,7,25,18,360,0.05,168,2584,0.05,0.07,0.05,0.37
OHL,2017-18 Regular Season,Nicolas Hague,D,N,Mississauga Steelheads,6.05,1998-12-05,67,35,22,21,78,57,476,0.12,270,2584,0.13,0.1,0.12,1.16
OHL,2017-18 Regular Season,Austin Osmanski,D,N,Mississauga Steelheads,6.04,1998-04-30,65,1,5,12,18,6,476,0.01,93,2584,0.01,0.04,0.03,0.28
OHL,2017-18 Regular Season,Kyle Auger,D,N,Ottawa 67's,5.10,1999-01-02,7,0,1,2,3,1,423,0,8,2584,0,0,0.01,0.43
OHL,2017-18 Regular Season,Luke Boka,F,N,Windsor Spitfires,5.11,1999-06-12,64,15,14,11,40,29,400,0.07,130,2584,0.12,0.05,0.07,0.62
OHL,2017-18 Regular Season,Gabriel Vilardi,F,N,Kingston Frontenacs,6.03,1999-08-16,32,22,23,13,58,45,458,0.1,113,2584,0.19,0.04,0.09,1.81
OHL,2017-18 Regular Season,Cole Carter,F,N,Kitchener Rangers,5.09,1998-07-06,66,24,12,8,44,36,469,0.08,180,2584,0.13,0.07,0.07,0.67
OHL,2017-18 Regular Season,Matt Brassard,D,N,Oshawa Generals,6.03,1998-08-08,67,16,16,19,51,32,468,0.07,218,2584,0.07,0.08,0.08,0.76
OHL,2017-18 Regular Season,Tyler Rollo,F,N,London Knights,5.10,1997-07-30,62,12,13,9,34,25,442,0.06,92,2584,0.13,0.04,0.06,0.55
OHL,2017-18 Regular Season,Aidan Brown,F,Y,Barrie Colts,6.01,1999-09-23,57,7,6,4,17,13,576,0.02,82,2584,0.09,0.03,0.02,0.3
OHL,2017-18 Regular Season,Markus Phillips,D,N,Owen Sound Attack,6.00,1999-03-21,68,10,16,13,39,26,548,0.05,147,2584,0.07,0.06,0.05,0.57
